Rank,File,Incoming Count,Outgoing Count,Total Count
1,logs/log_viewer.py,3,39,42
2,logs/multi_info_logger.py,9,14,23
3,logs/time_utils.py,16,3,19
4,logs/log_searcher.py,12,5,17
5,query_engine/models.py,15,1,16
6,query_engine/adapters/documents.py,11,2,13
7,query_engine/evaluators/memory.py,6,6,12
8,logs/log_types.py,11,0,11
9,logs/search_matcher.py,2,8,10
10,query_engine/adapters/extractors.py,1,9,10
11,logs/traceql_bridge.py,4,5,9
12,query_engine/adapters/__init__.py,1,8,9
13,logs/examples/test_run_logger.py,0,9,9
14,query_engine/ast.py,8,0,8
15,logs/query_error_bridge.py,7,1,8
16,query_engine/adapters/base.py,6,2,8
17,query_engine/parser.py,5,3,8
18,logs/language_selector.py,4,3,7
19,query_engine/evaluators/sql.py,4,3,7
20,logs/tester/test_log_viewer_search_methods.py,0,7,7
21,logs/openai_key_store.py,6,0,6
22,query_engine/utils.py,6,0,6
23,logs/log_app.py,4,2,6
24,logs/search_models.py,4,2,6
25,query_engine/adapters/tabular.py,4,2,6
26,logs/log_validator.py,3,3,6
27,query_engine/adapters/sqlite_adapter.py,3,3,6
28,logs/display_formatter.py,2,4,6
29,query_engine/__init__.py,0,6,6
30,tests/test_query_error_bridge.py,0,6,6
31,logs/search_ast.py,3,2,5
32,logs/search_text_analysis.py,3,2,5
33,query_engine/adapters/json_adapter.py,2,3,5
34,logs/log_config.py,4,0,4
35,logs/log_paths.py,4,0,4
36,query_engine/adapters/logs.py,1,3,4
37,tests/test_query_document_adapters.py,0,4,4
38,tests/test_traceql_bridge_boundary.py,0,4,4
39,logs/log_storage.py,3,0,3
40,logs/system_monitor.py,2,1,3
41,query_engine/adapters/text_table_adapter.py,1,2,3
42,query_engine/grammar.py,1,2,3
43,tests/test_sqlite_adapter.py,0,3,3
44,logs/context_types.py,2,0,2
45,logs/context_builder.py,1,1,2
46,logs/search_text_preprocessor.py,1,1,2
47,logs/tzinfo_formatter.py,1,1,2
48,query_engine/evaluators/__init__.py,0,2,2
49,lang/en.py,1,0,1
50,lang/ja.py,1,0,1
51,logs/error_response_dict.py,1,0,1
52,logs/log_multi_select.py,1,0,1
53,logs/search_similarity.py,1,0,1
54,query_engine/reserved_words.py,1,0,1
55,logs/update_tzdata.py,0,1,1
56,query_engine/dict_evaluator.py,0,1,1
57,query_engine/documents.py,0,1,1
58,query_engine/matcher.py,0,1,1
59,query_engine/tokenizer.py,0,1,1
60,lang/__init__.py,0,0,0
61,logs/__init__.py,0,0,0
62,logs/examples/__init__.py,0,0,0
63,logs/tester/test_search_textbox_queries.py,0,0,0
64,query_engine/similarity.py,0,0,0
